SUMLEV,COUNTY,COUSUB,CT,BLKGRP,BLOCK,NAME,geoid20,Neighborhood,NeighborhoodGroup
750,3,61000,202300,4,4003,Block 4003,4.20032E+14,Banksville,Banksville
750,3,61000,202300,4,4004,Block 4004,4.20032E+14,Banksville,Banksville
750,3,61000,202300,4,4005,Block 4005,4.20032E+14,Banksville,Banksville
750,3,61000,202300,4,4006,Block 4006,4.20032E+14,Banksville,Banksville
750,3,61000,202300,4,4007,Block 4007,4.20032E+14,Banksville,Banksville
750,3,61000,202300,4,4008,Block 4008,4.20032E+14,Banksville,Banksville
750,3,61000,50900,1,1000,Block 1000,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1001,Block 1001,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1002,Block 1002,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1003,Block 1003,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1004,Block 1004,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1005,Block 1005,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1006,Block 1006,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1007,Block 1007,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1008,Block 1008,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1009,Block 1009,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1010,Block 1010,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1011,Block 1011,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1012,Block 1012,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1013,Block 1013,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1014,Block 1014,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1015,Block 1015,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,50900,1,1016,Block 1016,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,60500,1,1012,Block 1012,4.20031E+14,Bedford Dwellings,Bedford Dwellings
750,3,61000,191600,1,1001,Block 1001,4.20032E+14,Beechview,Beechview
750,3,61000,191600,1,1002,Block 1002,4.20032E+14,Beechview,Beechview
750,3,61000,191600,1,1003,Block 1003,4.20032E+14,Beechview,Beechview
750,3,61000,191600,1,1004,Block 1004,4.20032E+14,Beechview,Beechview
750,3,61000,191600,1,1005,Block 1005,4.20032E+14,Beechview,Beechview
750,3,61000,191600,1,1006,Block 1006,4.20032E+14,Beechview,Beechview
750,3,61000,191600,1,1007,Block 1007,4.20032E+14,Beechview,Beechview
750,3,61000,191600,1,1008,Block 1008,4.20032E+14,Beechview,Beechview
750,3,61000,191600,1,1009,Block 1009,4.20032E+14,Beechview,Beechview
750,3,61000,191600,1,1010,Block 1010,4.20032E+14,Beechview,Beechview
750,3,61000,191600,1,1011,Block 1011,4.20032E+14,Beechview,Beechview
750,3,61000,191600,2,2000,Block 2000,4.20032E+14,Beechview,Beechview
750,3,61000,191600,2,2001,Block 2001,4.20032E+14,Beechview,Beechview
750,3,61000,191600,2,2002,Block 2002,4.20032E+14,Beechview,Beechview
750,3,61000,191600,2,2003,Block 2003,4.20032E+14,Beechview,Beechview
750,3,61000,191600,2,2004,Block 2004,4.20032E+14,Beechview,Beechview
750,3,61000,191600,2,2005,Block 2005,4.20032E+14,Beechview,Beechview
750,3,61000,191600,2,2006,Block 2006,4.20032E+14,Beechview,Beechview
750,3,61000,191600,2,2007,Block 2007,4.20032E+14,Beechview,Beechview
